baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ankrd33ab	0.267771133978524	-2.32753832984521	3.75028377072112	-0.620629923531803	0.534843146493748	NA
arhgef25b	16.1848428787104	-2.23080858575398	0.786705409995301	-2.83563397100232	0.00457348287626308	0.00854893917419423
b4galnt1b	5.08736053944742	-4.64360056633998	1.02362191166706	-4.53644115411466	5.72114431506714e-06	1.79644384892473e-05
os9	282.625765730503	-2.16654439492066	0.199170676912092	-10.8778281447369	1.47024251691547e-27	4.70418241650491e-26
c1galt1b	250.715387500662	0.436975466522482	0.250909951216852	1.74156291690807	0.0815849549655156	0.114937188740634
tac3b	0.425789809039824	-2.23641607082946	2.5984811244419	-0.860662811745378	0.38942378062029	0.451708784419915
apof	1.16464779414174	-2.52849947443775	2.62266579489406	-0.9640951887047	0.334998204657437	0.397202609442457
stat2	171.445062627124	-0.827435614026697	0.426453964762649	-1.94026948368793	0.0523469479970933	0.0772610662901161
LOC117818737	1.47119024680761	-3.81261500562808	1.76415534188718	-2.16115605871169	0.030683286436435	0.0477565646492974
LOC117815134	0	NA	NA	NA	NA	NA
LOC117815203	1.15084219737443	-3.32866629031969	1.57272833523488	-2.11649158710081	0.0343030199695826	0.0527754137805388
LOC117817598	1.84686531567642	-1.77629455147593	1.27046266536142	-1.3981477771097	0.162068695194338	0.210803692665919
endou	50.721288902606	-9.12268262784583	2.18489837276664	-4.1753349911164	2.97547868693087e-05	8.29456552819038e-05
tsfm	443.707728364815	3.24770965344157	0.21653762775117	14.9983616573726	7.52540141614165e-51	7.27241332788356e-49
