SI16_21G	SI16_23G	SI18_30G	SI18_48G	SI18_52G	SI16_22G	SI18_15G	SI18_16G	SI18_18G	SI18_22G	SI16_1G	SI16_2G	SI16_3G	SI18_47G	SI18_49G
LOC117815448	41	48	53	57	60	31	16	17	33	29	35	24	92	168	53
LOC117827212	0	0	1	0	0	2	0	0	0	0	4	2	1	20	1
cacna1da	0	0	1	1	0	3	1	0	34	0	61	44	133	235	62
LOC117816464	0	0	0	0	0	0	0	0	0	0	0	1	10	6	1
tkta	0	0	1	1	0	16	0	0	1	1	3	3	8	24	10
bicd2	366	287	229	260	321	202	167	79	78	141	222	177	208	244	159
card19	35	83	9	17	8	59	15	11	27	7	96	75	110	126	99
LOC117823372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ninj1	2	6	1	5	3	78	11	20	19	6	73	82	94	168	125
wnk2	7	4	9	11	20	11	14	17	23	13	57	49	88	101	33
LOC117815543	0	0	1	1	1	5	1	4	2	2	4	2	9	23	3
il17rc	0	0	0	0	0	39	4	0	0	0	6	11	63	20	10
LOC117816765	4	12	1	3	4	5	2	0	5	6	16	13	39	59	16
erc2	0	0	0	0	1	4	1	0	3	0	26	26	47	84	34
bsnb	4	2	8	7	14	5	9	1	3	22	38	46	34	54	12
bap1	361	400	262	244	280	208	180	42	47	124	715	520	540	427	253
rad54l2	103	86	54	70	65	104	31	7	27	34	692	369	432	410	219
LOC117819986	263	498	57	63	89	204	16	4	11	16	8	18	39	59	42
rassf1	1	2	0	3	9	7	0	0	1	1	43	40	43	33	12
tusc2b	665	1443	567	496	512	1413	170	78	80	208	325	342	342	438	310
hyal2b	100	101	41	22	37	119	22	9	13	14	355	208	312	388	196
abhd14a	27	66	11	17	23	73	3	5	11	3	695	630	508	227	167
LOC117816941	149	228	88	114	100	163	72	67	46	69	152	159	231	189	120
LOC117820810	2	4	2	7	0	18	11	3	16	4	62	52	165	285	104
LOC117818428	0	0	0	0	0	1	0	0	0	1	17	10	10	9	7
LOC117818421	1	0	0	4	1	5	0	0	3	0	31	13	13	21	5
LOC117816814	0	0	0	0	0	3	0	0	0	1	3	1	1	15	1
p4htm	2	2	4	7	2	29	10	2	6	3	323	41	122	272	116
slc26a6l	12	5	7	33	13	21	9	3	11	22	93	142	169	72	65
kbtbd12	0	0	0	0	0	0	0	0	1	0	3	0	1	12	3
LOC117816850	320	692	161	257	455	628	126	56	59	194	1017	899	623	685	439
c1h1orf159	167	266	131	115	150	142	89	38	43	51	406	375	364	277	170
si:ch211-157b11.14	0	0	0	0	0	0	0	0	0	0	17	22	32	25	9
rereb	41	77	66	51	51	43	60	35	41	72	790	607	663	428	224
eno1b	1209	1918	1103	1012	1077	1474	788	682	614	857	563	713	1308	1654	967
ppil1	955	1487	662	837	751	1533	605	700	493	592	322	342	504	367	351
